address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type)
 ('Rated 4.0', 'RATED\n  Visited this place for the sea food festival menu. Very creative and delicious dishes. The cakes with crab and prawn meat (melba dhan) were amazing. Chingri Bhetki roll is a must try for people not very conscious of oil content. Follow it up with ever green kosha mangsho and luchi. Order some white rice with shorshe lau jhinga. We also ordered the prawn kofta curry, wife loved it, I am on the edge on this one. And the standard deserts to wrap up things,,, ('Rated 4.0', 'RATED\n  We visited this place on a Friday night and they had a good amount of crowd. The ambience is nice and cozzy. Service was good and the staff was humble. Coming to the food, we ordered for pressure cooker mutton (amazing), Calcutta spl chk dum biriyani (good), luchi puri (good) and a few chk starters (good). One disappointment was that they did not have mishti dohi that day but overall a good experience. Cheers ??'),,enjoying the crowd.The service was great despite of the fact 8t was packed.Lets talk about the food now
"5th Floor, Garuda Mall, Magrath Road, Brigade Road, Bangalore",Panchavati Gaurav Thali,Yes,Yes,4.0,929.0,"+91 8041410033
+91 9731693987",Brigade Road,Casual Dining,"Veg Thali, Dahi Vada, Malpua, Rajasthani Thali, Rabri, Buttermilk, Jalebi","Rajasthani, Gujarati",800.0,Delivery
"545, 3rd Floor, CMH Road, Indiranagar, Bangalore",Aagaman Veg,Yes,No,4.0,558.0,"080 40956662
080 40926663",Indiranagar,Casual Dining,"Jalebi, Lunch Buffet, Dal Kichadi, Panneer Butter Masala, Crispy Corn, Dal Makhani, Gulab Jamun","North Indian, Chinese, South Indian",900.0,Delivery
"17/1, Raheja Plaza, Commissariat Road, D'souza Circle, Opposite Lifestyle, Brigade Road, Bangalore",Fatso's,Yes,No,3.8,72.0,"+91 8041244440
+91 7019438017",Brigade Road,Cafe,"Sandwich, Garlic Bread, Brownie, Potato Wedges, French Fries","Cafe, American, Italian, Burger",650.0,Delivery
"971, 5th Cross, 12th Main, HAL II Stage, Indiranagar, Bangalore",Salt Mango Tree,Yes,Yes,4.1,247.0,"00 919686365602
00 919886037106",Indiranagar,Casual Dining,"Kerala Parotta, Appam, Buttermilk, Biryani, Chicken Fry, Beef Fry, Fish Curry",Kerala,800.0,Delivery
" a cosy place"""")", ('Rated 5.0', 'RATED\n  yum! cozy little place, no nonsense,,, followed by dinner here. We really liked the beef rendang with jasmine rice. Do reserve a table, it has limited seating and gets quite crowded even on a weekday.'), ('Rated 4.0', 'RATED\n  Some of the best dumplings I have had in Bangalore!!! The chicken wings and the little thai golden pockets were yummy!! The tempura prawns were fried just right!!! And the Haianese chicken rice is another amazing find at this small but cute place!! Decor is really good!! And all the food at an affordable price especially when you go in groups!!'), ('Rated 5.0',, 'RATED\n  One of the best pan Asian places in the city of Bangalore. From the salads to the wide array of dumplings (try the rainbow and the moon dumplings)
"First Floor, 14, Church Street, Bangalore",Mainland China,Yes,Yes,4.5,1394.0,080 49652555,Church Street,"Casual Dining, Bar","Hunan Tofu, Noodles, Jumbo Prawns, Jasmine Tea, Chicken Momo, Cocktails, Momos","Chinese, Momos",1700.0,Delivery
"32, Annaswamy Mudaliar Road, Opposite Ulsoor Lake, Ulsoor, Bangalore",Urban Solace - CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â© for the Soul,Yes,No,3.9,463.0,"+91 9945022177
+91 9845013055",Ulsoor,"Cafe, Casual Dining","Chocolate Shake, Wine, Burgers, Sangria, Paratha, Pasta, Fish","Cafe, American, Continental, Steak",800.0,Delivery
 ('Rated 4.0', 'RATED\n  Hey hey hey, finally I make it to Rock Salt!!\nAbhijit Saha - Celebrity Chef from Blore does it again, after Caperberry and Fava and the Fava Bristro (Koramangala)! Keep up the good job buddy ????\n\nAmbience:\nOn the terrace,,, peanut chutney was good too and butter chicken was the best I ve had in awhile.\nThe drinks (cocktails) were decent.\nFood served well in decent portions.\n5/5\n\n\nService:\nGood, nothing to complain about. ??\n20% S Charge added to the bill. ??\n4/5\n\nOverall:\n4/5\nGood. Will come\nBack here in the evening sometime soon as the ambience is more suitable for the late evenings.\n\nWill surely return. Cheers ?'), ('Rated 5.0', 'RATED\n  This was 2nd reataurant visit of the day, we tasted baked samosa with filling of potato,, spiced baked cauliflower with sesame peanut fennel and. Peanut butter was good\nThe tiranga paneer ka soola was good')
"40/2, Lavelle Road, Bangalore",The Rice Bowl,Yes,Yes,4.3,500.0,080 49653099,Lavelle Road,"Casual Dining, Bar","Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken","Chinese, Momos",1300.0,Delivery
 good and bad but taste differs from person to person and hence reviews are to be taken only as an indication. What's good for me might not be so for someone else. Overall," we all were extremely satisfied with the food and service"""")", ('Rated 3.0', 'RATED\n  I was counting on Tao. This turned out rather disappointing. To begin with I was disappointed with the service which IÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92m unsure is an isolated incident.. we have ordered dimsums,,, pho and soupy noodles. Dimsums weÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92re nice. Melted in my mouth. We were told Salmon nigiri cannot be served (was included in the bill tho ? good we checked). Rainbow nigiri turned out yum!? Asparagus tempura maki was ok\U0001f928 pho was good. Food was ok overall. Menu dint sound like it is only Japanese. I should have checked prior. pricing was ok too. We winded up half way so dint get to taste desserts ? it would be nice if they served some Ramen. I cannot comment on authenticity but IÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92m not impressed with the experience.\n\nFood: 3/5\nPricing: 4/5\nService: 2/5\nAmbiance: 3/5'), ('Rated 2.0', 'RATED\n  Over rated restaurant, not authentic....every starter we ordered were the same taste. Had to wait for more the 30 mins for food, service is pathetic.\n\nGood thing is the welcome and ambiance!'),, 'RATED\n  Although I had been here few times
"Sultan Shah Complex, Cunningham Road, Bangalore",Shezan,Yes,No,4.1,391.0,"080 22287895
080 22262195",Cunningham Road,Casual Dining,"Mudpie, Butter Naan, Mutton Biryani, Kulfi, Steak, Sweet Corn Soup, Beef Chilli","Chinese, Continental, North Indian, Mughlai, Steak",600.0,Delivery
"Shop 19, Ground Floor, Kalpak Arcade, Church Street, Bangalore",Oye Amritsar,Yes,Yes,4.1,450.0,+91 9036025211,Church Street,Casual Dining,"Lassi, Aloo Paratha, Jalebi, Palak Paneer, Cheese Naan",North Indian,1000.0,Delivery
"G 117-118, Prestige Centre Point, Cunningham Road, Bangalore",Banjara Melting Pot,Yes,Yes,4.2,474.0,"080 41231772
080 41231774",Cunningham Road,Casual Dining,"Lamb Curry, Cocktails, Neer Dosa, Veg Starter, Prawn Ghee Roast, Chicken Biryani, Mocktails","North Indian, Chinese, Seafood",1700.0,Delivery
"28, Centenary Building, MG Road, Bangalore",Tandoor,Yes,Yes,3.9,1361.0,080 49652745,MG Road,Fine Dining,"Mutton Biryani, Dal Makhani, Chicken Malai Tikka, Paneer Makhani, Faluda, Jal-jeera, Cocktails",North Indian,2100.0,Delivery
"70, Cunningham Road, Bangalore",Feast India Co.,Yes,No,4.2,133.0,"080 43713675
080 22343771",Cunningham Road,Casual Dining,"Naan, Phirni, Sheermal, Rasmalai, Chicken Tikka, Paneer Tikka, Galauti Kebab","Awadhi, Bengali, North Indian",1500.0,Delivery
"180, 2nd Floor, Manohar Crest, Brigade Road, Bangalore",Hotel Green Tara,No,No,3.9,39.0,"+91 9632924721
+91 9902065325",Brigade Road,Casual Dining,Momos,"Chinese, Tibetan, Momos",500.0,Delivery
 it was a must try for us. Tried their wheat flavoured beer. Definitely was a good one. Coming to the food, as we weren't that hungry we just got one pizza and nachos. Had ordered both in veg but later regretted on doing so. Both the pizza and the nachos were loaded with veggies and we got literally bored to finish it. Got a good service but was a big hole for our pockets. The place a little rip off. Just two pints of beer," a pizza and a nachos cost us 1700 bugs!"""")", ('Rated 5.0',,, ('Rated 4.0', 'RATED\n  One of the places where one can have a quick beer and some good food when in between meetings.. or come here .. sit on the first floor ... have a beer or two or more.. watching life go by on the streets below.. ? lovely food.. great and courteous service..'), ('Rated 4.0', 'RATED\n  In both my visits to Biere Club I have found their beers really good. Especially their seasonal beers are quite unique, like now they are serving a lager flavored with basil and pepper which we all liked.\n\nThey are the first functional microbrewery in Bangalore (2011). Ambiance and service is good.\n\nFood is good but a I find the price a little high.'),, service is excellent.')
"196, 3rd Floor, Double Road, Indiranagar, Bangalore",Bangalore Mandarin,Yes,No,4.2,974.0,"080 41161732
080 25251772",Indiranagar,Casual Dining,"Lime Soda, Crispy Chicken, Kung Pao Chicken, Hakka Noodles, Veg Manchow Soup, Clear Soup, Singapore Noodles","Chinese, Seafood",1100.0,Delivery
"Cears Plaza, Opposite Bangalore Club, Residency Road, Bangalore",Mahesh Lunch Home,Yes,Yes,4.1,860.0,"080 41311101
080 41311102",Residency Road,Casual Dining,"Sea Food, Neer Dosa, Crab Ghee Roast, Jumbo Prawns, Thali, Crab Butter, Crab Masala","Seafood, Mangalorean, North Indian, Chinese",1400.0,Delivery
"31, Church Street, Bangalore",Bheema's,Yes,No,4.0,779.0,"080 25587389
080 41122535",Church Street,Casual Dining,"Thali, Mutton Biryani, Mutton Fry, Chilli Chicken, Chicken Biryani, Andhra Meal, Vegetable Biryani",Andhra,650.0,Delivery
 ('Rated 4.0', 'RATED\n  Went on a Sunday afternoon. The place was deserted. The music kept it alive though. Good playlist! The food was very good for the price. The chilli cheese fries was just too good. the service was good and everyone was friendly! Overall a really good experience! Will definitely tell people to give this place a try!'), ('Rated 3.5', 'RATED\n  If ur a fan of tap beer and for reasonable price this is defiantly should meet ur desires still need to work with the menu!! Tasty starters!! Usually unavailable!!'),,, virgin mozito, mangalorean prawn curry n rice. Food quality is good, quantity also. Place is good with minimal decorations. Dint like the mocks much. But rest of the items were good enough. Affordable price. Arnab Bhattacharjee'), ('Rated 3.0', 'RATED\n  Looks like non familiar pubs in the city. Visited with my pals,, ('Rated 4.0'
"25, First Cross, Behind Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",Hatti Punjab Di,No,No,3.4,8.0,"+91 8884444038
+91 9800055522",Brigade Road,Quick Bites,"Tandoori Chicken, Butter Chicken, Garlic Naan",North Indian,450.0,Delivery
"45/1, Leo Complex, Residency Cross Road, Off Residency Road, Residency Road, Bangalore",Chung Wah,Yes,No,4.0,360.0,"080 25582662
080 25580708",Residency Road,Casual Dining,"Jasmine Tea, Spring Roll, Golden Fried Prawns, Hakka Noodles, Hunan Chicken Gravy, Drunken Chicken Wings, Dragon Rolls","Chinese, Thai, Momos, Vietnamese",1000.0,Delivery
"17, BDA Complex, Off Double Road, Indiranagar, Bangalore",Danny Lambas Punjabi Dhaba,Yes,No,3.5,98.0,+91 9343775155,Indiranagar,Casual Dining,"Tandoori Chicken, Paneer Makhani, Mutton Roganjosh, Paratha, Aloo Jeera, Butter Chicken","North Indian, Chinese, Biryani",600.0,Delivery
"Near Bharat Residency, MM Garden, Koramangala 6th Block, Bangalore",The Charcoal Factory,Yes,No,4.1,290.0,"+91 9148164362
+91 8884144911",Koramangala 6th Block,Quick Bites,"Burgers, Cheesy Pizza, Chips, Fries, Rice Bowl, White Sauce Pasta, Chicken Wings","Burger, Pizza, Momos",600.0,Delivery
"13, 106, West Minster Building, Cunningham Road, Bangalore",Chung's Chinese Corner,Yes,No,3.3,201.0,"080 32211006
080 22204949",Cunningham Road,Casual Dining,"Noodles, Honey Chilli Chicken, Crispy Chilli Chicken",Chinese,700.0,Delivery
"70, Near Accenture Building, Cunningham Road, Bangalore",Fat Buddha,Yes,Yes,4.0,455.0,"080 41235139
080 22343771",Cunningham Road,Casual Dining,"Crab Soup, Noodles, Wine, Spicy Crabmeat Soup, Manchow Soup, Momos, Sea Food","Chinese, Thai",1000.0,Delivery
"1/3, 3rd Floor, Ulsoor, Bangalore",Teppan Japanese Grill & Sushi Bar,Yes,No,4.3,901.0,"+91 7846870710
+91 9742547027",Ulsoor,Casual Dining,"Maki Roll, Jumbo Prawns, Fish, Rolls, Sashimi, Miso Soup, Maki Sushi",Japanese,2000.0,Delivery
"121, 6th Cross, Gandhinagar, Majestic, Bangalore",New Prashanth Hotel,Yes,No,3.7,50.0,"080 41483339
+91 9880433332",Majestic,Casual Dining,"Biryani, Ragi Mudde, Chicken Curry","South Indian, Biryani, Chinese, North Indian",750.0,Delivery
 ('Rated 4.0', 'RATED\n  Gives the feel of the Old Bangalore. Great place to be for steaks n burgers. I believe even the staffs are all working at the restaurant from ages, great enthusiastic people, who know in & out of what they serve(not scripted) would love to get back several times to taste all the varieties of steaks n burgers'),,, fish and chips and lamb chops .. everything was amazing..ended with apple pie with no cream. A perfect lunch place for food lovers. Please do try'), ('Rated 4.0'," """"RATED\n  Good place for a steak lover.. Ambience is OK but the place is always crowded whenever I visit. They don't serve hard liquor but the food is worth it and worth visiting!"""")", ('Rated 5.0'," """"RATED\n  Woohoo!!!!! Best place for the foodie's . Lot of options in Western dishes. And really delicious.\nI heard of alot of things about this place before visiting and I almost waited two years to visit this place . Finally had an lovely experience"""")",, 'RATED\n  Gives the feel of the Old Bangalore. Great place to be for steaks n burgers. I believe even the staffs are all working at the restaurant from ages
"56, Church Street, Bangalore",Anupam's Coast II Coast,Yes,Yes,4.1,853.0,"080 48655588
080 25550990",Church Street,Casual Dining,"Murgh Ghee Roast, Sea Food, Neer Dosa, Fish, Prawn Ghee Roast, Appam, Ghee Roast Paneer","Seafood, Mangalorean, North Indian, Chinese",1400.0,Delivery
" tasty and well portioned. The service was real quick and the staff were awesome. The ambience is retro and quirky and overall a good find for a good evening."""")", ('Rated 3.0'," """"RATED\n  Ambience takes the point ? no doubt it is beautiful with some arcade games to play.\n\nBut when it comes to food I guess I will take away the points.They tried to play with some flavours of fries such as andra fries but it didn't work out as they expected. Pizza was great but again vegetarian pizza was okaish.\n\nSo overall bit was a nice experience but looking forward to visit again so that I can end up with a happy and great experience. ?"""")", ('Rated 5.0',,, there are arcade games which you could play and relive your childhood.\n\nEnough of praising the ambience and getting down to the main reason why we come here, the food. The menu will make you feel like Midas as anything you touch would be made of gold here. I would still suggest Colonel MustardÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92s chicken and Take it Cheesy chicken as must haves from the mains as me and my fellow foodie had those alongwith a few snacks.\n\nI would like to conclude with a note that this place has captured the vibe for me and they sure have a regular customer now.'), ('Rated 5.0'," """"RATED\n  AMAZING AMAZING food"," very helpful staff and a Tarantino movie set kind of set up Plus the rock from the 80s. All in all a wonderful combination. Another plus side is that if you want to play those arcade games you got to visit here. It's free!? MUST VISIT!"""")",,Delivery
"Hotel Ramanashree, 16, Raja Ram Mohan Roy Road, Richmond Road, Bangalore",Kudla - Hotel Ramanashree,Yes,Yes,4.1,354.0,"+91 9686198148
080 41350000",Richmond Road,Casual Dining,"Neer Dosa, Fish, Murgh Ghee Roast, Appam, Chicken Sukha, Crab Masala, Chicken Biryani","South Indian, Andhra, Chinese",1200.0,Delivery
"14, H.M. Geneva House, Cunningham Road, Bangalore",Ramana's,Yes,Yes,4.0,378.0,"080 22263200
080 22268500",Cunningham Road,Casual Dining,"Palak Soup, Mushroom Masala, Dal Makhani, Kebab Platter, Jal-jeera, Mushroom Soup, Roti","North Indian, Chinese, Healthy Food",850.0,Delivery
"Barton Center, 84, 13th Floor, MG Road, Bangalore",Ebony,Yes,Yes,4.3,3126.0,080 41783344,MG Road,Casual Dining,"Appam, Khao Suey, Rabri, Chicken Biryani, Kebab Platter, Prawn, Pad Thai","North Indian, South Indian",1500.0,Delivery
"48/1, 1st Floor, St. Marks Road, Church Street, Bangalore",The Konkan - Seafood Restaurant,Yes,Yes,4.4,218.0,"+91 9916100875
+91 9986762579",St. Marks Road,Casual Dining,"Sea Food, Murgh Ghee Roast, Mocktails, Stuffed Pomfret, Sol Kadhi, Kokum Juice, Coconut Rice","Seafood, Konkan, Mangalorean",850.0,Delivery
 ('Rated 3.0', 'RATED\n  Overrated. Overpriced. I tried their chicken ghee roast. They will need to rename it chicken oil roast because that was what it was roasted in. And while it was very red, it was not fiery at all and the colour stayed on my fingers for a long time.'), ('Rated 5.0',,, ('Rated 3.0', 'RATED\n  ???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????'), ('Rated 4.0', 'RATED\n  Had beef sukka and chicken roast here. Both were good. Quantities were less but Zomato gold made it up for it with 1+1. May visit again to try few other dishes. Overall an average experience. Was not too crowded even on a weekend.'), ('Rated 4.0',, it was not fiery at all and the colour stayed on my fingers for a long time.')
"68, MM Road, Near Mosque, Frazer Town, Bangalore",Fujan,Yes,No,3.6,54.0,"080 25481588
+91 9845533911",Frazer Town,Casual Dining,Chicken Noodle,"Chinese, Thai, Seafood",600.0,Delivery
"3, Near HDFC Bank, CMH Road, Indiranagar, Bangalore",Raaga,Yes,Yes,3.8,297.0,"080 25250235
+91 9341217011",Indiranagar,Casual Dining,"Panner Tikka, Gajar Ka Halwa, Chicken Biryani, Thali, Lunch Buffet, Raita, Tandoori Aloo","North Indian, Chinese, Continental",1200.0,Delivery
"Near Bharat Residency, MM Garden, Koramangala 6th Block, Bangalore",The Food Dude,Yes,No,4.0,176.0,"+91 8884144911
+91 9148164362",Koramangala 6th Block,Delivery,"Pizza, Burgers, Pasta, Chilli Paneer","Fast Food, Burger, Sandwich, Pizza",300.0,Delivery
"13, 1st Floor Azeem Gold, Mosque Road, Frazer Town, Bangalore",Lazio Steaks & More,Yes,No,3.9,118.0,"+91 8043701131
+91 9900417751",Frazer Town,Casual Dining,"Burgers, Beef Steak, Mutton Biryani, Pie, Mudpie, Cheesecake, Chicken Wings","Continental, Chinese, Steak",1000.0,Delivery
"949, 3rd Floor, 12th Main, Off 100 Feet Road, Indiranagar, Bangalore",The Humming Tree,Yes,No,4.0,2418.0,"+91 9886618386
00 08066021808",Indiranagar,Lounge,"Sangria, Chicken Salad, Sandwiches, Cocktails, Pizza, Gnocchi, Chicken Satay","Fast Food, European",1400.0,Delivery
"57, Floor 2, 100 Feet Road, Indiranagar, Bangalore",Woodstok,Yes,Yes,4.1,1053.0,"+91 9686191998
+91 8042115042",Indiranagar,"Takeaway, Delivery","Buffalo Chicken Wings, Chips, Peri Peri Prawn, Cocktails, Mocktails, Pizza, Mushroom Soup","Continental, Italian, Steak, American",1400.0,Delivery
"84, 13th Floor, Barton Center, MG Road, Bangalore",ASEAN - On The Edge,Yes,Yes,4.4,861.0,080 41783366,MG Road,Casual Dining,"Cocktails, Khao Suey, Mocktails, Salad, Malacca Curry, Beer, Beef Pho","Asian, Thai",1800.0,Delivery
 'RATED\n  The pizza got cold and the bread got hard by the time I received the delivery.'), ('Rated 5.0', 'RATED\n  Quality tasting pizzas and IÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92m hoping they have a thin crust soon.\nIÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92ve ordered 4 pizzas in the last 3 days and IÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92ve loved every bit of it and the guy who delivers it is also really nice. Unfortunately I havenÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92t had the change to tip the guy every time he delivered and even then he was courteous the next time. If I donÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92t have the exact change, he would say - ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x93it is ok sir,,, 'RATED\n  not good'), ('Rated 4.5', 'RATED\n  I was almost parting all days this christmas holiday season while we were drinking had the crave of eating pizza i was checking out for some late night food, came across this place and i ordered Chicken Peri Peri and meat mix pizza i really loved the chicken Peri Peri it was yummy and tasty.. staffs there were humble and they delivered fast too.. nice place to order food must try i shall continue to order. Friends night kitchen good job keep up the spirit, work a bit more on the mianora sauce which would make your pizza excellent...'),, 'RATED\n  The pizza got cold and the bread got hard by the time I received the delivery.')
"18/1, Cambridge Road, Ulsoor, Bangalore",Retro Lounge Bar,No,Yes,3.8,108.0,"080 41320436
080 25363694",Ulsoor,Bar,"Pepper Prawns, Fries, Chicken Biryani","North Indian, Chinese",1400.0,Delivery
"534/2, 47, 2nd Floor, 10A Cross, RA Road, Ejipura, Bangalore",Kick Out the Jams,Yes,No,4.0,528.0,+91 9900831191,Ejipura,Delivery,"Burgers, Pizza, Bacon Burger, Wings, Cheesecake, Chicken Burger, Pepperoni","Burger, American, Italian",350.0,Delivery
"L1-03, Skywalk, Near Body Craft, Assaye Road, Ulsoor, Bangalore",Xian,Yes,Yes,3.8,81.0,"080 41656111
080 41515163",Ulsoor,Casual Dining,Noodles,"Chinese, Thai",800.0,Delivery
"Next To Lavanya Theater, St.John's Road, Ulsoor, Bangalore",Mummy Dhaba,Yes,No,3.2,46.0,+91 8951133536,Ulsoor,Quick Bites,Dal Makhani,North Indian,300.0,Delivery
"12/1, Ulsoor Road, Ulsoor, Bangalore",Benjarong,Yes,No,4.2,858.0,"+91 7846848837
+91 8428458790",Ulsoor,Casual Dining,"Tom Yum Soup, Cocktails, Jasmine Rice, Clear Soup, Sea Food, Pad Thai, Lemongrass Tea","Thai, Asian",1800.0,Delivery
"17, 17th F Main, CMH Road, Indiranagar, Bangalore",Midnight Hunger Solutions 24/7,Yes,No,2.1,252.0,"+91 8088922299
+91 8088922295",Indiranagar,Delivery,"Mutton Biryani, Chilli Paneer, Chicken Biryani","North Indian, Mughlai, Chinese",500.0,Delivery
"12/1, Ulsoor Road, Sivanchetti Gardens, Ulsoor, Bangalore",Ente Keralam,Yes,No,4.0,1096.0,"+91 7846830749
080 41133707",Ulsoor,Casual Dining,"Appam, Fish, Mutton Stew, Cocktails, Egg Roast, Prawn Curry, Chicken Stew","Kerala, Seafood",1300.0,Delivery
 ('Rated 4.0', 'RATED\n  Meals are really good and value for money. Went there with my friend. The quality and taste of the food is really good. Better than other restaurants which serve andhra meals.\nFood- 5/5\nService- 4.5/5\nQuality- 4/5\n\nThe best part is the meal is unlimited.'), ('Rated 4.0', 'RATED\n  Been here recently . First time trying from here with friend . We have ordered Andhra meals with Fish fry and also we did order chicken briyani\n\nOverall they serve very good food and itÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92s very tasty'),,, puddu, rice, rasam, sambhar and the amazing peanut chutney.\nThe pickles are lip smacking and the overall thali is yummy.\nThey serve you on the traditional banana leaf. The service is usually prompt and the place is neat and clean.'), ('Rated 5.0',, ghee and gun powder tastes heavenly.')
"50, Opposite Loom, Lavelle Road, Bangalore",Sunny's,No,Yes,4.1,1327.0,"+91 8041329366
+91 8041329391",Lavelle Road,"Casual Dining, Bar","Penne Pasta, Pizza, Cocktails, Salads, Risotto, Sea Food, Crab Cake","European, Italian, Seafood, Continental",2100.0,Delivery
"60/1, Miyajima House, 3rd Floor, 2nd Cross, Residency Road, Bangalore",Japan Travel Cafe Azuki,No,No,4.3,67.0,080 41214342,Residency Road,Cafe,"Miso Soup, Tempura","Cafe, Japanese",400.0,Delivery
"20/2, Anjaneya Temple Street, YG Palya, Austin Town, Off Richmond Road, Richmond Road, Bangalore",Little Chef,No,No,4.0,101.0,"+91 8025303341
+91 8032540234",Richmond Road,Casual Dining,"Dragon Chicken, Hunan Chicken",Chinese,550.0,Delivery
 ('Rated 4.0', 'RATED\n  Good place,great ambience,superb food,,, ('Rated 3.0'," 'RATED\n  Ambience : Bad. Horrible is only more precise. It feels like you just came to a famous place which has been closed fir several years. And it definitely was famous once. Very old age look and not in a good way. The place is literally deserted. The food for the buffet is arranged in the same way like you find in Indian Weddings .\n\nService: Bad Bad Bad. The waiters don\'t attend you until called for. Further a lot of arrogance there. We had opted for a """"Buffet"""" and then later when they couldn\'t prepare enough they said that the veg starters were limited while the non veg were unlimited. And they were arrogant about it.\n\nFood: Well this was a little different. The chicken was well cooked. Both the starters and the main course was well made not sure about the veg though but the dal was good too. Also the deserts were good. It was Gulab Jamun with Vanilla Ice cream and it was GOOD.\n\nCanopy : Please update yourself with the real world around.')", ('Rated 2.5'," 'RATED\n  We were there on a Saturday evening at abt 8.30. It was completely vacant. The food is ok. No mutton items at all. 3-4 varities of chicken is served. Fish kabab is really tasty. Biryani is ok. Pudding is good. But veggies beware u""""ll be at loss as not many veg items are available. Ambience is very good. So its like ok-ok situation.')", ('Rated 1.0',, so people will take something else. when checked with Manager Mr. Jhon he will just say 1 min sir
"The Elanza Hotel, 88/2 Richmond Road, Richmond Road, Bangalore",Cafe @ Elanza,No,No,3.7,145.0,"+91 8861300580
080 22233666",Richmond Road,"Casual Dining, Cafe","Breakfast Buffet, Omelette, Lunch Buffet, Pasta","Chinese, North Indian, Cafe",1000.0,Delivery
"14/13, St. Marks Road, Bangalore",Gundappa Donne Biryani,No,No,3.7,160.0,"080 42352255
+91 8197234868",St. Marks Road,Quick Bites,"Mutton Biryani, Chilli Chicken, Pepper Chicken, Chicken Fry, Donne Chicken Biryani, Chicken Guntur, Chicken Kebab",Biryani,300.0,Delivery
"72, St. Marks Road, Bangalore",Nandhini Paradise,No,Yes,3.6,277.0,"080 41233333
+91 9742274063",St. Marks Road,"Casual Dining, Bar","Murgh Ghee Roast, Veg Thali, Chicken Chettinad, Chicken Kshatriya, Mutton Chops, Hyderabadi Biryani, Roti","Andhra, Chinese, North Indian",800.0,Delivery
"13, KH Road, Shanti Nagar, Bangalore",Nagashree's,No,No,2.9,46.0,+91 9341324184,Shanti Nagar,Casual Dining,"Biryani, Mutton Chops","South Indian, North Indian, Fast Food",550.0,Delivery
"650-C, Opposite Kanteevara Stadium, Rajaram Mohan Roy Road, Richmond Road, Bangalore",Kamat's Palate Korner,No,No,4.1,121.0,"080 22274040
080 22293200",Richmond Road,Casual Dining,"Butter Chicken, Jeera Rice, Dal Makhani, Butter Naan, Tandoori Chicken, Rumali Roti, Panneer Butter Masala","North Indian, Chinese",600.0,Delivery
"The Pride Hotel, 93, Richmond Road, Bangalore",Cafe Treat - The Pride Hotel,Yes,No,4.1,119.0,"+91 9916548932
+91 9686601306",Richmond Road,Casual Dining,"Cosmopolitan, Salads, Chaat, Coffee, Biryani, Dal Makhani, Butter Chicken","Continental, Asian, Italian",1000.0,Delivery
